service,microservice,type,accy,modelFile
ComposePost,user-mention-service,beforeInflection,0.24775358915693263,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/latencyPrediction/ComposePost_user-mention-service_before.full
ComposePost,user-mention-service,afterInflection,0.761463638878239,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/latencyPrediction/ComposePost_user-mention-service_after.full
HomeTimeline,text-service,afterInflection,0.7822847750006992,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/latencyPrediction/HomeTimeline_text-service_after.full
ComposePost,user-service,afterInflection,0.9264565684911759,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/latencyPrediction/ComposePost_user-service_after.full
HomeTimeline,social-graph-service,beforeInflection,0.6126491998650487,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/latencyPrediction/HomeTimeline_social-graph-service_before.full
HomeTimeline,social-graph-service,afterInflection,0.567184923220925,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/latencyPrediction/HomeTimeline_social-graph-service_after.full
HomeTimeline,post-storage-service,afterInflection,0.6147433595635008,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/latencyPrediction/HomeTimeline_post-storage-service_after.full
ComposePost,user-timeline-service,beforeInflection,0.6783250030476584,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/latencyPrediction/ComposePost_user-timeline-service_before.full
ComposePost,user-timeline-service,afterInflection,0.5880092051684477,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/latencyPrediction/ComposePost_user-timeline-service_after.full
HomeTimeline,nginx-web-server,beforeInflection,0.6245267317499172,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/latencyPrediction/HomeTimeline_nginx-web-server_before.full
HomeTimeline,nginx-web-server,afterInflection,0.8591055400009904,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/latencyPrediction/HomeTimeline_nginx-web-server_after.full
HomeTimeline,media-service,afterInflection,0.9443548695812869,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/latencyPrediction/HomeTimeline_media-service_after.full
HomeTimeline,compose-post-service,afterInflection,0.3283965744685205,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/latencyPrediction/HomeTimeline_compose-post-service_after.full
ComposePost,unique-id-service,afterInflection,0.9470167924767822,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/latencyPrediction/ComposePost_unique-id-service_after.full
HomeTimeline,user-timeline-service,beforeInflection,0.7926041434155991,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/latencyPrediction/HomeTimeline_user-timeline-service_before.full
HomeTimeline,user-timeline-service,afterInflection,0.6587091281665776,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/latencyPrediction/HomeTimeline_user-timeline-service_after.full
HomeTimeline,home-timeline-service,beforeInflection,0.9033013832273566,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/latencyPrediction/HomeTimeline_home-timeline-service_before.full
HomeTimeline,home-timeline-service,afterInflection,0.7276238549003464,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/latencyPrediction/HomeTimeline_home-timeline-service_after.full
ComposePost,home-timeline-service,beforeInflection,0.8989575501881351,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/latencyPrediction/ComposePost_home-timeline-service_before.full
ComposePost,home-timeline-service,afterInflection,0.7283846969341692,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/latencyPrediction/ComposePost_home-timeline-service_after.full
